0	19	13	4	7	4	17	14	11	17	18	5	5	11	18	21	11	17	21	22	22	18	11	21	19	8	4	17	12	17	
19	0	5	11	18	6	9	19	21	10	13	18	8	14	19	8	15	18	21	21	10	14	6	15	3	5	3	10	9	12	
13	5	0	15	7	21	13	12	16	5	21	6	15	7	9	7	11	19	5	16	19	20	21	15	8	10	16	7	20	10	
4	11	15	0	12	19	6	4	9	5	6	14	15	13	12	17	14	15	3	16	17	3	7	20	5	7	5	14	17	16	
7	18	7	12	0	4	10	17	6	12	10	19	8	8	10	10	12	10	18	10	13	19	7	6	15	12	20	5	17	18	
4	6	21	19	4	0	6	7	13	9	12	17	5	15	7	20	5	21	20	22	16	11	4	12	20	7	20	19	3	17	
17	9	13	6	10	6	0	10	22	13	20	12	13	4	12	18	22	18	20	3	15	3	7	7	6	3	22	17	20	12	
14	19	12	4	17	7	10	0	7	6	17	6	7	4	18	9	11	4	7	7	10	8	6	9	19	11	11	17	13	3	
11	21	16	9	6	13	22	7	0	7	19	17	12	18	10	14	22	18	3	15	5	7	8	5	4	17	12	21	11	7	
17	10	5	5	12	9	13	6	7	0	16	4	21	17	17	19	17	9	8	21	18	17	8	18	22	3	7	16	12	12	
18	13	21	6	10	12	20	17	19	16	0	4	12	8	14	14	19	13	5	20	12	13	16	20	13	13	11	5	20	14	
5	18	6	14	19	17	12	6	17	4	4	0	17	4	9	11	3	10	4	12	17	17	22	20	19	14	10	10	7	7	
5	8	15	15	8	5	13	7	12	21	12	17	0	22	11	21	17	15	16	5	8	4	18	3	12	15	5	8	16	20	
11	14	7	13	8	15	4	4	18	17	8	4	22	0	10	10	18	21	3	8	17	4	15	7	11	20	16	10	6	10	
18	19	9	12	10	7	12	18	10	17	14	9	11	10	0	15	11	11	13	3	3	16	12	21	9	3	8	17	9	21	
21	8	7	17	10	20	18	9	14	19	14	11	21	10	15	0	11	7	10	13	20	11	6	13	18	10	21	14	18	21	
11	15	11	14	12	5	22	11	22	17	19	3	17	18	11	11	0	18	11	6	4	8	6	22	3	15	7	4	17	10	
17	18	19	15	10	21	18	4	18	9	13	10	15	21	11	7	18	0	15	5	4	22	9	14	20	22	14	7	6	12	
21	21	5	3	18	20	20	7	3	8	5	4	16	3	13	10	11	15	0	4	15	16	4	12	16	19	7	22	19	14	
22	21	16	16	10	22	3	7	15	21	20	12	5	8	3	13	6	5	4	0	17	4	13	16	9	12	18	19	3	4	
22	10	19	17	13	16	15	10	5	18	12	17	8	17	3	20	4	4	15	17	0	5	4	13	3	21	18	6	4	16	
18	14	20	3	19	11	3	8	7	17	13	17	4	4	16	11	8	22	16	4	5	0	12	3	6	19	18	5	19	3	
11	6	21	7	7	4	7	6	8	8	16	22	18	15	12	6	6	9	4	13	4	12	0	16	20	14	12	18	8	6	
21	15	15	20	6	12	7	9	5	18	20	20	3	7	21	13	22	14	12	16	13	3	16	0	7	13	8	4	16	18	
19	3	8	5	15	20	6	19	4	22	13	19	12	11	9	18	3	20	16	9	3	6	20	7	0	5	3	6	9	3	
8	5	10	7	12	7	3	11	17	3	13	14	15	20	3	10	15	22	19	12	21	19	14	13	5	0	15	17	10	11	
4	3	16	5	20	20	22	11	12	7	11	10	5	16	8	21	7	14	7	18	18	18	12	8	3	15	0	17	13	15	
17	10	7	14	5	19	17	17	21	16	5	10	8	10	17	14	4	7	22	19	6	5	18	4	6	17	17	0	12	11	
12	9	20	17	17	3	20	13	11	12	20	7	16	6	9	18	17	6	19	3	4	19	8	16	9	10	13	12	0	9	
17	12	10	16	18	17	12	3	7	12	14	7	20	10	21	21	10	12	14	4	16	3	6	18	3	11	15	11	9	0	
